"А","1286"
"Б","1753"
"В","549"
"Г","1046"
"Д","798"
"Е","108"
"Ж","423"
"З","664"
"И","366"
"Й","4"
"К","2411"
"Л","732"
"М","1349"
"Н","495"
"О","834"
"П","1858"
"Р","607"
"С","1901"
"Т","1049"
"У","280"
"Ф","200"
"Х","296"
"Ц","240"
"Ч","727"
"Ш","289"
"Щ","160"
"Э","234"
"Ю","146"
"Я","222"
"A","3452"
"B","1075"
"C","2700"
"D","1151"
"E","1125"
"F","240"
"G","747"
"H","1174"
"I","393"
"J","91"
"K","251"
"L","1151"
"M","1884"
"N","915"
"O","917"
"P","2976"
"Q","45"
"R","530"
"S","1973"
"T","1542"
"U","162"
"V","201"
"W","100"
"X","188"
"Y","53"
"Z","231"
